# fichier jupiter.txt
############################################################################################
# Positions prévues de Jupiter par rapport au Soleil.
# Les données sont prises tous les 70 jours.
# La première ligne correspond au 14/ 4/2021, la deuxième au 23/ 6/2021, etc.
# Les distances sont exprimées en unité astronomique (au) : 1 au = 1.496e+11 m
############################################################################################
X (au)              Y (au)              
3.5957              -3.5648             
3.9409              -3.1448             
4.2415              -2.6891             
4.4936              -2.2023             
4.6936              -1.6899             
4.8387              -1.1575             
4.9266              -0.6113             
4.956               -0.0577             
4.9261              0.4967              
4.837               1.0453              
4.6897              1.5815              
4.4859              2.0987              
4.2282              2.5909              
3.9199              3.0521              
3.5648              3.4771              
3.1674              3.8609              
2.7329              4.1995              
2.2665              4.4894              
1.7741              4.7276              
1.2614              4.9122              
0.7346              5.0416              
0.1997              5.1154              
-0.3374             5.1333              
-0.8709             5.0961              
-1.3951             5.0049              
-1.9047             4.8616              
-2.3947             4.6683              
-2.8604             4.4279              
-3.2975             4.1433              
-3.7021             3.818               
-4.0707             3.4558              
-4.4003             3.0605              
-4.688              2.6363              
-4.9318             2.1875              
-5.1298             1.7185              
-5.2806             1.2339              
-5.3832             0.7382              
-5.4369             0.2359              
-5.4417             -0.2683             
-5.3976             -0.7699             
-5.3052             -1.2645             
-5.1654             -1.7477             
-4.9796             -2.215              
-4.7492             -2.6624             
-4.4764             -3.0858             
-4.1634             -3.4813             
-3.8128             -3.8451             
-3.4277             -4.1739             
-3.0113             -4.4643             
-2.5672             -4.7134             
-2.0993             -4.9185             
-1.6118             -5.0772             
-1.109              -5.1874             
-0.5956             -5.2476             
-0.0766             -5.2564             
0.4431              -5.2132             
0.9583              -5.1177             
1.4636              -4.97               
1.9537              -4.771              
2.4232              -4.522              
2.867               -4.2249             
3.2797              -3.8822             
